"Species","SampleType","Treatment","Indicator_Value","P_value","Relative_Abundance_Percent"
"s__Umbelopsis_isabellina","Root","E",0.572,0.003,0.01
"s__Bipolaris_cynodontis","Root","E",0.524,0.001,0.12
"s__Papiliotrema_aspenensis","Root","E",0.522,0.032,0.01
"","Root","E",0.506,0.028,0.04
"s__Enterocarpus_grenotii","Root","E",0.505,0.028,0.02
"s__Parasarocladium_radiatum","Root","E",0.5,0.031,0.05
"","Root","E",0.495,0.044,0.04
"s__Gliomastix_roseogrisea","Root","E",0.493,0.028,0.02
"","Root","E",0.486,0.012,0.04
"s__Sakaguchia_sp","Root","E",0.481,0.032,0.01
"","Root","E",0.477,0.03,0.04
"","Root","E",0.475,0.038,0.04
"s__Simplicillium_lanosoniveum","Root","E",0.471,0.041,0.01
"","Root","E",0.463,0.032,0.04
"","Root","E",0.463,0.032,0.04
"s__Penicillium_longicatenatum","Root","E",0.461,0.046,0.11
"s__Cystobasidium_slooffiae","Root","E",0.429,0.02,0.03
"s__Gamszarea_microspora","Root","E",0.429,0.028,0.03
"s__Paecilomyces_zollerniae","Root","E",0.374,0.016,1.59
"s__Metarhizium_anisopliae","Root","M",0.701,0.002,0.04
"","Root","M",0.632,0.001,0.03
"s__Pulvinulaceae_sp","Root","M",0.608,0.003,0.19
"s__GS05_sp","Root","M",0.607,0.002,0.05
"","Root","M",0.529,0.019,0.03
"s__Immersiella_sp","Root","M",0.455,0.044,1.93
"","Root","ME",0.694,0.002,0.02
"s__Phialophora_cyclaminis","Root","ME",0.612,0.007,0.02
"s__Magnaporthales_sp","Root","ME",0.612,0.01,0
"s__Edenia_gomezpompae","Root","ME",0.495,0.023,0.01
"","Root","ME",0.486,0.039,0.02
"s__Simplicillium_sympodiophorum","Root","control",0.441,0.045,0.01
"s__Clonostachys_rosea","Root","control",0.44,0.038,0.14
"","Rhizo","E",0.743,0.001,0.03
"s__Pyrenopeziza_caespiticia","Rhizo","E",0.734,0.001,0.05
"s__Gliomastix_roseogrisea","Rhizo","E",0.721,0.001,0.07
"s__Gibellulopsis_piscis","Rhizo","E",0.718,0.001,0.02
"","Rhizo","E",0.713,0.001,0.03
"","Rhizo","E",0.691,0.001,0.03
"s__Paecilomyces_zollerniae","Rhizo","E",0.69,0.001,1.41
"s__Enterocarpus_grenotii","Rhizo","E",0.686,0.001,0.06
"s__Dictyosporiaceae_sp","Rhizo","E",0.677,0.001,0.02
"s__Fusarium_equiseti","Rhizo","E",0.675,0.001,0.06
"s__Pleotrichocladium_opacum","Rhizo","E",0.661,0.001,0
"s__Hypocreales_sp","Rhizo","E",0.655,0.004,0.15
"","Rhizo","E",0.614,0.002,0.03
"s__Iodophanus_carneus","Rhizo","E",0.596,0.001,0.02
"s__Trichomonascus_vanleenenianus","Rhizo","E",0.555,0.011,0.05
"s__Cheilymenia_theleboloides","Rhizo","E",0.545,0.011,0.01
"","Rhizo","E",0.542,0.011,0.03
"s__Saccharomycetales_sp","Rhizo","E",0.522,0.011,0
"","Rhizo","E",0.522,0.01,0.03
"s__Nectria_ramulariae","Rhizo","E",0.514,0.016,0.02
"s__Emericellopsis_glabra","Rhizo","E",0.489,0.01,0.44
"s__Peziza_aurata","Rhizo","E",0.479,0.007,0
"s__Pascua_guehoae","Rhizo","E",0.447,0.04,0
"s__Cladorrhinum_sp","Rhizo","E",0.447,0.047,0.01
"s__Vandijckella_johannae","Rhizo","E",0.447,0.038,0
"s__Spadicoides_bina","Rhizo","E",0.447,0.047,0
"s__Pleosporales_sp","Rhizo","E",0.447,0.05,0
"","Rhizo","E",0.442,0.04,0.03
"s__Fusarium_oxysporum","Rhizo","E",0.437,0.039,0.02
"s__Microdochium_poae","Rhizo","E",0.423,0.038,0.01
"s__Hyaloscyphaceae_sp","Rhizo","E",0.423,0.045,0
